key;en
item.doomcall;Doomcall
item.doomcall.description;When you open half of all empty cells, spawn a Harbinger. Harbingers activate an additional time.
item.doomcall.divine;Divine Doomcall
item.doomcall.divine.description;Each stage has an additional Harbinger. Pay a Harbingers to make its effect beneficial.
item.doughnut;Doughnut
item.doughnut.description;You cannot lose other omens.
item.dove;Dove
item.dove.description;Every 100 cells opened, gain 1 morality. If your morality is 10 or greater, gain a soul.
item.dowsing-rod;Dowsing Rod
item.dowsing-rod.description;Spawn a coin whenever you discover a cell of value 4 or greater.
item.dragon-boots;Dragon Boots
item.dragon-boots.description;[12 Leg Armor] Ultimate leg armor.
item.dragon-chestplate;Dragon Chestplate
item.dragon-chestplate.description;[30 Body Armor] Ultimate body armor.
item.dragon-helmet;Dragon Helmet
item.dragon-helmet.description;[20 Head Armor] Ultimate head armor.
item.dragon-knuckles;Dragon Knuckles
item.dragon-knuckles.description;For a number of turns equal to the monsters you have killed plus 1, you can powerchord any cell.
item.dragon-scale;Dragon Scale
item.dragon-scale.description;Magic items will keep 50% of their mana after use.
item.dreamborne;Dreamborne
item.dreamborne.description;Complete the current stage. Manalock for 100 turns.
item.dreamcatcher;Dreamcatcher
item.dreamcatcher.description;When you start a stage, your guaranteed objects spawn inside Bubbles.
item.drill;Drill
item.drill.description;Enchant target visible cell: each turn, increase this cell's value by 1. If it's 10 or greater, upgrade the loot in this cell or spawn a coin here, then reset the cell value.
item.drinking-straw;Drinking Straw
item.drinking-straw.description;Waterboys are more common and cost half as much. You may right click to move them for free.
item.drone;Drone
item.drone.description;Every 20 turns, reveal a number of monsters equal to the length of your chain. Cancel this effect if you don't have a chain.
item.drugs;Drugs
item.drugs.description;Cells generate triple mana for the next 20 turns. Just be careful, ok?
item.drugs.divine;Divine Drugs
item.drugs.divine.description;Cells generate double mana until you make a mistake. Far out, man.
item.druid-staff;Druid Staff
item.druid-staff.description;Tame monsters into Minions.
item.drum-of-war;Drum of War
item.drum-of-war.description;Whenever you discover a 5 or greater, gain 1 defense.
item.dry-spell;Dry Spell
item.dry-spell.description;At the end of each stage, lose half of your mana.
item.dumbbell;Dumbbell
item.dumbbell.description;Reduce your next source of life loss by 1 plus the number of monsters you have killed.
item.dumpster;Dumpster
item.dumpster.description;Lose all items with a position in your inventory greater than sum of target 3x3 visible area.
item.dusk-binder;Dusk Binder
item.dusk-binder.description;The bottom half of each stage is Cursed.
item.duster;Duster
item.duster.description;Activate items that would trigger when you discover a cell of a certain value.
item.dynamite;Dynamite
item.dynamite.description;Explode target 3x3 area.
item.earthblock;Earthblock
item.earthblock.description;Stage mods cannot be created nor removed.
item.echo-chamber;Echo Chamber
item.echo-chamber.description;When you target a cell with an item, enchant the cell: increase the value of this cell by 1 each turn. If it's 10 or greater, use the original item here then reset the cell value.
item.ectodrop;Ectodrop
item.ectodrop.description;You can become a ghost. After 20 turns as a ghost, you lose.
item.ectoplasm;Ectoplasm
item.ectoplasm.description;You can become a ghost. After opening 200 cells as a ghost, you lose.
item.edict-of-the-old-gods;Edict of the Old Gods
item.edict-of-the-old-gods.description;Guarantees one Obelisk every stage. Improves the quality of your Tablets.
item.egg-basket;Egg Basket
item.egg-basket.description;Lose all of your Easter eggs and gain a Token for each egg lost this way.
item.electric-chestplate;Electric Chestplate
item.electric-chestplate.description;[5 Body Armor] Monsters in Electric cells deal normal damage. Fortify whenever you collect loot from an Electric cell.
item.electric-eel;Electric Eel
item.electric-eel.description;At the start of each stage, all monsters on cells of value 3 or greater gain Electric.
item.electro-pulse;Electro Pulse
item.electro-pulse.description;Apply Electric to all cells. After 1 turn, all cells lose their auras.
item.electromancy;Electromancy
item.electromancy.description;When you target a cell with an item, it gains Electric. When you complete a stage, gain 1 soul for each Electric cell of value 5 or greater.
item.electroscope;Electroscope
item.electroscope.description;At the start of each stage, all 0-value cells gain Electric.
item.elemental-bullet;Elemental Bullet
item.elemental-bullet.description;Your projectiles create aura trails.
item.elemental-fuel;Elemental Fuel
item.elemental-fuel.description;Spread all auras to nearby cells.
item.elemental-knuckles;Elemental Knuckles
item.elemental-knuckles.description;For a number of turns equal to the sum of target visible 3x3 area, you can powerchord any cell that has an aura.
item.elfnip;Elfnip
item.elfnip.description;Known for its powerful intoxicating properties among the Elf folk. Banned in the North Pole. Do not give to children.
item.elixir;Elixir
item.elixir.description;Gain between 1 and 3 souls.
item.elven-whistle;Elven Whistle
item.elven-whistle.description;For 5 turns, solve a cell each turn. This effect lasts an additional turn for each of your Minions.
item.emergency-rations;Emergency Rations
item.emergency-rations.description;If you have to guess, gain a revive. If not, you die.
item.empty-chest;Empty Chest
item.empty-chest.description;Stages no longer have a guaranteed chest.
item.enchanted-blade;Enchanted Blade
item.enchanted-blade.description;Kill target living object and enchant its cell: each turn, increase this cell's value by 1. If it's 10 or greater, spawn and kill the same living object, then reset the cell value.
item.enchanted-boots;Enchanted Boots
item.enchanted-boots.description;[2 Leg Armor] Every 30 turns, enchant the last cell you opened: increase the value of this cell by 1 each turn. If it's 10 or greater, reset its value and fortify all of your armor by the value.
item.enchanted-chestplate;Enchanted Chestplate
item.enchanted-chestplate.description;[5 Body Armor] Fortify by the cell value whenever you enchant a cell.
item.enchanted-helmet;Enchanted Helmet
item.enchanted-helmet.description;[3 Head Armor] When equipped, fortify by the number of enchanted cells.
item.enchanting-rune;Enchanting Rune
item.enchanting-rune.description;Magic items will trigger an extra time.
item.essence-of-affluence;Essence of Affluence
item.essence-of-affluence.description;Gain coins in increments of 5 equal to one-tenth the sum of target visible 3x3 area, rounded down.
item.essence-of-creation;Essence of Creation
item.essence-of-creation.description;Gain Minions equal to one-tenth the sum of target visible 3x3 area, rounded down.
item.essence-of-death;Essence of Death
item.essence-of-death.description;Gain Bones equal to one-tenth the sum of target visible 3x3 area, rounded down.
item.essence-of-motion;Essence of Motion
item.essence-of-motion.description;Gain pathfinding equal to one-tenth the sum of target visible 3x3 area, rounded down.
item.essence-of-security;Essence of Security
item.essence-of-security.description;Gain defense equal to one-tenth the sum of target visible 3x3 area, rounded down.
item.essence-of-strength;Essence of Strength
item.essence-of-strength.description;Gain souls equal to one-tenth the sum of target visible 3x3 area, rounded down.
item.eternal-jelly;Eternal Jelly
item.eternal-jelly.description;Convert a random duplicate item into an item worth around twice as much, then gain a copy of this item.
item.ether-totem;Ether Totem
item.ether-totem.description;Enchant target visible cell, apply Ethereal to it: each turn, increase the value by 1. If it's 10 or greater, kill monsters in this quadrant equal to the number of Ethereal cells in this quadrant, then reset the value.
item.ethermancy;Ethermancy
item.ethermancy.description;When you target a cell with an item, it gains Ethereal.
item.event-horizon;Event Horizon
item.event-horizon.description;Targeted items affect the entire row of cells.
item.evermetal;Evermetal
item.evermetal.description;Gain 1 defense.
item.evil-container.divine;Divine Evil Container
item.evil-container.divine.description;Lose all of your omens. 10% chance to get them back at the start of each stage.
item.evil-container;Evil Container
item.evil-container.description;Lose all of your omens. Get them back at the start of the next stage.
item.excalibur;Excalibur
item.excalibur.description;You can kill monsters and bosses if your morality is 30 or greater. Lose this item if you are immoral.
item.exorcist-doll;Exorcist Doll
item.exorcist-doll.description;Lose an omen for every 2 mastery charges at the start of each stage, and when your ultimate ability is activated.
item.exorcist's-memento;Exorcist's Memento
item.exorcist's-memento.description;If you have no omens when a Guide spawns, increase his reward amount by 1.
item.explosive-gut;Explosive Gut
item.explosive-gut.description;Whenever you lose an item, explode 4 random cells.
item.extortion;Extortion
item.extortion.description;Lose a random item every 20 turns.
item.extra-pocket;Extra Pocket
item.extra-pocket.description;You may find duplicate items. When you enter a stage, reduce the minimum power by your highest number of duplicates.
item.extravagance;Extravagance
item.extravagance.description;Gain 3 copies of the next item you consume, then lose this item.
item.eye-of-the-tiger;Eye of the Tiger
item.eye-of-the-tiger.description;Automatically discharges when you discover a cell of value 5 or greater and correctly flags the surrounding cells.
item.eyepatch;Eyepatch
item.eyepatch.description;Chance to find treasure increases with missing life.
item.fairy;Fairy
item.fairy.description;Reduce the current stage's max power to its min power.
item.fairy.divine;Divine Fairy
item.fairy.divine.description;Reduce the current stage's power to 1.
item.fairy-queen;Fairy Queen
item.fairy-queen.description;When you enter a stage, reduce the minimum stage power to 1.
item.fake-candy;Fake Candy
item.fake-candy.description;Spawn a Dark Heart every 10 turns. Whenever a heart is collected, increase the stage power.
item.fake-moustache;Fake Moustache
item.fake-moustache.description;Whenever you discover a 3 or greater, glean all nearby hidden cells.
item.false-lamb;False Lamb
item.false-lamb.description;Stages have 2 Cursed cells for each of your omens. Monsters are empowered by empty Cursed cells.
item.false-map;False Map
item.false-map.description;Lose 5% pathfinding at the end of each stage.
item.fan;Fan
item.fan.description;Auras and enchantments move.
item.fancy-ring;Fancy Ring
item.fancy-ring.description;Triples your chance to find coins.
item.faulty-bomb;Faulty Bomb
item.faulty-bomb.description;After 500 turns, this item will blow up and kill you.
item.faulty-firecracker;Faulty Firecracker
item.faulty-firecracker.description;Your targeted items have a 50% chance to explode the target instead, burning you and destroying the item in the process.
item.feather;Feather
item.feather.description;Monster damage is capped to your number of items.
item.fel-bracers;Fel Bracers
item.fel-bracers.description;Monsters roll extra times for damage equal to your number of omens, and use the weakest result.
item.feral-fibers;Feral Fibers
item.feral-fibers.description;Gain Minions equal to the current stage's minimum power.
item.fig-leaf;Fig Leaf
item.fig-leaf.description;Unequip your armor. You cannot wear armor.
item.finality;Finality
item.finality.description;You cannot be revived.
item.fire-bomb;Fire Bomb
item.fire-bomb.description;Apply Burning to a 3x3 area around target cell.
item.fire-totem;Fire Totem
item.fire-totem.description;Enchant target visible cell, apply Burning to it: each turn, increase the value by 1. If it's 10 or greater, kill monsters in this quadrant equal to the number of Burning cells in this quadrant, then reset the value.
item.fireball;Fireball
item.fireball.description;Send Flares in all directions from target visible cell.
item.firefly-doll;Firefly Doll
item.firefly-doll.description;Burn random monsters equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.firefly's-memento;Firefly's Memento
item.firefly's-memento.description;Increase your life cap for the next dimension by the number of Burning cells in the Metagate.
item.fireplace;Fireplace
item.fireplace.description;Every 30 turns, each stage gains a Burning cell. Glean cells near Burning cells.
item.firm-fibers;Firm Fibers
item.firm-fibers.description;Gain defense equal to the current stage's minimum power.
item.first-aid;First Aid
item.first-aid.description;When you enter a stage, restore 1 life each turn until you make a mistake.
item.fish;Fish
item.fish.description;Cook by removing Burning from target visible cell, then restore 2 lives. Or sell raw at an Item Shop for 10 coins.
item.fishing-pole.divine;Divine Fishing Pole
item.fishing-pole.divine.description;You can go fishing at Wishpools. Guarantees 1 Wishpool per stage. Wishpools spawn with 3 additional charges.
item.fishing-pole;Fishing Pole
item.fishing-pole.description;Guarantees 1 Wishpool per stage. You may right click a Wishpool to go fishing: reduce its charges by 1, pass a turn, and see what you reel in!
item.flashbang;Flashbang
item.flashbang.description;Reveal quadrant around target cell.
item.flashlight;Flashlight
item.flashlight.description;Reveal target cell causing its monster to flee, then remove Dark mod from the current stage.
item.flavor-enhancer;Flavor Enhancer
item.flavor-enhancer.description;Whenever you consume an item, activate its effect again.
item.flower-fibers;Flower Fibers
item.flower-fibers.description;Gain max life equal to the current stage's minimum power.
item.flying-carpet;Flying Carpet
item.flying-carpet.description;Gain 20% pathfinding and manalock for 100 turns. Lose the same amount of pathfinding after 100 turns.
item.fool's-gold;Fool's Gold
item.fool's-gold.description;Coin chests will instead steal your money.
item.forge-hammer.divine;Divine Forge Hammer
item.forge-hammer.divine.description;Fortify each armor by 100% of its current durability. If you are not wearing armor, gain 3 defense instead.
item.forge-hammer;Forge Hammer
item.forge-hammer.description;Fortify your leftmost armor by 100% of its current durability.
item.fortune-cookie;Fortune Cookie
item.fortune-cookie.description;Adds the Trusty mod to the selected stage.
item.fossil;Fossil
item.fossil.description;Convert target stranger or monster into a landmark.
item.friendly-fire;Friendly Fire
item.friendly-fire.description;Strangers send a Flare in a random direction each turn.
item.friendly-mimic;Friendly Mimic
item.friendly-mimic.description;Your chests are strong familiars. You can still open them.
item.friendship-amulet;Friendship Amulet
item.friendship-amulet.description;Doubles your chance to find strangers.
item.friendship-ring;Friendship Ring
item.friendship-ring.description;Slightly increases your chance to find strangers.
item.frost-blade;Frost Blade
item.frost-blade.description;Freeze target visible living object or explode target Frozen cell in a 5x5 area.
item.frostbite;Frostbite
item.frostbite.description;Automatically discharges whenever you discover a 4 or greater and freezes 1 to 3 random monsters.
item.frozen-asset;Frozen Asset
item.frozen-asset.description;You cannot gain more than 1 coin at a time. 50% chance to apply Frozen to coin drops.
item.frozen-helmet;Frozen Helmet
item.frozen-helmet.description;[3 Head Armor] All Frozen cells are gleaned. Fortify whenever a monster becomes frozen.
item.fruit-of-labor;Fruit of Labor
item.fruit-of-labor.description;After 50 turns without making a mistake, you win the current stage.
item.gambler-medal;Gambler Medal
item.gambler-medal.description;Stages have an additional Gambler.
item.garlic;Garlic
item.garlic.description;You are immune to omens until your next mistake.
item.garlic.divine;Divine Garlic
item.garlic.divine.description;You are immune to omens until your next mistake. Lose a random omen when this status effect expires.
item.gearcheck.divine;Divine Gearcheck
item.gearcheck.divine.description;Items from chests will drop on the ground.
item.gearcheck;Gearcheck
item.gearcheck.description;Non-omen items from chests will drop on the ground.
item.gemcut-glove;Gemcut Glove
item.gemcut-glove.description;Many of your diamonds will be purple diamonds.
item.genie-lamp;Genie Lamp
item.genie-lamp.description;After each stage, you will visit a random special stage.
item.ghillie-suit;Ghillie Suit
item.ghillie-suit.description;[3 Body Armor] At the start of each stage, obscure all visible numbered cells. Negate damage from monsters near obscured cells.
item.ghost-doll;Ghost Doll
item.ghost-doll.description;Activate Ectoplasm and set its counter to 30 times your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.ghost's-memento;Ghost's Memento
item.ghost's-memento.description;Gain Ectoplasm when you enter the Dimensional Portal. Keep it for the next dimension.
item.gift-card;Gift Card
item.gift-card.description;Receive a random shop item for free.
item.gift-card.divine;Divine Gift Card
item.gift-card.divine.description;Receive selected shop item for free.
item.giftwrap;Giftwrap
item.giftwrap.description;Transform a random item into a Present.
item.giga-health-potion;Giga Health Potion
item.giga-health-potion.description;When you gain this item, restore your life to max and gain 10 souls. When you lose this item, cut your max lives in half.
item.giga-mana-potion;Giga Mana Potion
item.giga-mana-potion.description;When you gain this item, fully charge and duplicast your magic items. When you lose this item, deplete your mana.
item.glass-knuckles;Glass Knuckles
item.glass-knuckles.description;You cannot powerchord. Whenever you chord a 1, lose 1 life.
item.glasses;Glasses
item.glasses.description;Gain 10% pathfinding. Lose the same amount if you lose this item.
item.glasses.divine;Divine Glasses
item.glasses.divine.description;Gain 15% pathfinding. Lose all of your pathfinding if you lose this item.
item.glitch;Glitch
item.glitch.description;Spawn a Canker. Your orbs move erratically.
item.glowspore;Glowspore
item.glowspore.description;Each point of mana replenishes all of your magic items.
item.gluttony;Gluttony
item.gluttony.description;Whenever you gain a consumable item, use it right away.
item.gnarled-branch;Gnarled Branch
item.gnarled-branch.description;If you use a magic item, you lose that item.
item.god-potion;God Potion
item.god-potion.description;Gain 1 revive.
item.god-rays;God Rays
item.god-rays.description;Double your morality. If your absolute morality is 30 or greater, reduce the stage power to 1.
item.godly-goblet;Godly Goblet
item.godly-goblet.description;Lose a legendary item and gain a revive.
item.godmonger;Godmonger
item.godmonger.description;You may have multiple legendary items.
item.gold-digger;Gold Digger
item.gold-digger.description;Items you find will be worth at least 30 coins.
item.golden-amulet;Golden Amulet
item.golden-amulet.description;Doubles your chance to find coins.
item.golden-apple;Golden Apple
item.golden-apple.description;Gain 3 souls and lose all of your coins.
item.golden-boots;Golden Boots
item.golden-boots.description;[3 Leg Armor] Every 10 turns, spawn 10 coins if you just clicked on a 4 or greater.
item.golden-chalice;Golden Chalice
item.golden-chalice.description;Gain between 1 and 5 coins.
item.golden-chestplate;Golden Chestplate
item.golden-chestplate.description;[9 Body Armor] If this armor would break, lose all of your coins and fortify by 1 for every 5 coins lost this way.
item.golden-flea;Golden Flea
item.golden-flea.description;When you enter a stage, increase the monster count for every 10 coins you have.
item.golden-goose;Golden Goose
item.golden-goose.description;Every 50 cells opened, gain between 25 and 100 coins.
item.golden-helmet;Golden Helmet
item.golden-helmet.description;[5 Head Armor] Spawn 5 coins whenever this armor takes damage. Fortify by 1 whenever you collect a coin from a cell with a value of 3 or greater.
item.golden-ring;Golden Ring
item.golden-ring.description;Slightly increases your chance to find coins.
item.golden-rose;Golden Rose
item.golden-rose.description;Take 1 damage and gain 10 coins.
item.golem-glove;Golem Glove
item.golem-glove.description;Coin drops are converted to monsters.
item.gospel;Gospel
item.gospel.description;Priests are more common and cost half as much. They will remove all of your omens at once.
item.grapes;Grapes
item.grapes.description;Gain souls equal to your defense and gain defense equal to your lives, up to a maximum of 5 each.
item.grappling-hook;Grappling Hook
item.grappling-hook.description;Reveal the corner cells.
item.gravedigger;Gravedigger
item.gravedigger.description;Whenever you lose an item, get it back after 100 turns.
item.gray-dye;Gray Dye
item.gray-dye.description;You will only find passive items until you gain a passive item.
item.gray-egg;Gray Egg
item.gray-egg.description;You must have 4 or more passive items to open this egg!
item.grease;Grease
item.grease.description;Every 20 turns, all visible monsters that are not in the quadrant of the cell you open will flee. Whenever a monster flees, add it to the next stage.
item.greedy-pig;Greedy Pig
item.greedy-pig.description;Lose up to half your coins at the end of each stage.
item.green-dye;Green Dye
item.green-dye.description;You will only find consumable items until you gain a consumable item.
item.green-egg;Green Egg
item.green-egg.description;You must have 5 or more consumable items to open this egg!
item.grim-pump;Grim Pump
item.grim-pump.description;Whenever you gain an orb, increase size and speed of all orbs.
item.groupie;Groupie
item.groupie.description;Each turn you click on an empty cell, a random visible stranger relocates to that cell.
item.growing-pains;Growing Pains
item.growing-pains.description;Monsters deal extra damage equal to your number of omens.
item.guardian-doll;Guardian Doll
item.guardian-doll.description;Gain defense equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.guardian's-memento;Guardian's Memento
item.guardian's-memento.description;If you step through the Dimensional Portal with at least 20 defense, you will start the next dimension with 5 defense.
item.guild-bond;Guild Bond
item.guild-bond.description;For 25 seconds, whenever you spend coins on a stranger, gain a soul.
item.gumshoes;Gumshoes
item.gumshoes.description;[2 Leg Armor] Every 30 turns, glean all hidden cells in a 5x5 area around the cell you just clicked on.
item.halo.divine;Divine Halo
item.halo.divine.description;At the end of each stage, gain 1 revive and cut your max life in half. Consume the Halo when enough is enough!
item.halo;Halo
item.halo.description;Set your max life to 1. Gain 3 revives.
item.hand-of-glory;Hand of Glory
item.hand-of-glory.description;Whenever you leave a stage, steal coins from all visible strangers equal to their price.
item.handaxe;Handaxe
item.handaxe.description;Chop down signs.
item.handaxe.divine;Divine Handaxe
item.handaxe.divine.description;Chop wood.
item.handbell;Handbell
item.handbell.description;Spawn a random stranger in target empty cell.
item.handcuffs;Handcuffs
item.handcuffs.description;When you leave a stage, bubble your familiars. When a monster tries to flee, it becomes your familiar instead.
item.happy-cloud;Happy Cloud
item.happy-cloud.description;Gain 15% evasion. Your evasion also gives you a chance to avoid omen effects.
item.happy-little-tree;Happy Little Tree
item.happy-little-tree.description;Mistakes have a 75% chance to be considered happy accidents (thereby ignoring 'on mistake' effects).
item.harbinger-medal;Harbinger Medal
item.harbinger-medal.description;Stages have an additional Harbinger.
item.hatchling-scale;Hatchling Scale
item.hatchling-scale.description;Magic items will keep 25% of their mana after use.
item.health-potion;Health Potion
item.health-potion.description;Restores 3 lives.
item.healthy-heart;Healthy Heart
item.healthy-heart.description;Whenever you restore life, restore the same amount of life after 50 turns.
item.heart-key;Heart Key
item.heart-key.description;Whenever you collect a heart, a random visible monster becomes your familiar. Whenever a familiar dies, spawn a heart.
item.heart-plug;Heart Plug
item.heart-plug.description;You cannot restore more than 1 life at a time.
item.heart-rod;Heart Rod
item.heart-rod.description;Convert all visible loot to hearts.
item.heart-of-steel;Heart of Steel
item.heart-of-steel.description;Every 50 turns, gain 1 defense if you are not injured.
item.heavy-burden;Heavy Burden
item.heavy-burden.description;Your inventory is considered full at half capacity.
item.hellspire;Hellspire
item.hellspire.description;When you enter a stage, triple its minimum power.
item.hellstone-chestplate;Hellstone Chestplate
item.hellstone-chestplate.description;[4 Body Armor] Fortify by 3 whenever you gain an omen.
item.helm;Helm
item.helm.description;Treasure chests may contain more valuable items.
item.hematic-crystal;Hematic Crystal
item.hematic-crystal.description;Gain 30 mana for each damage taken.
item.herbs;Herbs
item.herbs.description;Item chests also contain a random potion.
item.hero-brooch;Hero Brooch
item.hero-brooch.description;When you enter a stage, reduce the max power by 1. If you have a legendary item, cut the max power in half instead.
item.hieroglyph;Hieroglyph
item.hieroglyph.description;Some coins will become Ancient Coins.
item.hobo-cap;Hobo Cap
item.hobo-cap.description;When you enter an Item Shop, increase the prices.
item.holy-pendant;Holy Pendant
item.holy-pendant.description;Immunity to omens.
item.holy-ring;Holy Ring
item.holy-ring.description;50% chance to negate the effect of an omen when it triggers.
item.holy-ring.divine;Divine Holy Ring
item.holy-ring.divine.description;You are immune to omens while you are injured.
item.holy-totem;Holy Totem
item.holy-totem.description;Enchant target visible cell, apply Sanctified to it: each turn, increase the value by 1. If it's 10 or greater, kill monsters in this quadrant equal to the number of Sanctified cells in this quadrant, then reset the value.
item.holy-water;Holy Water
item.holy-water.description;Lose a random omen.
item.hook-hand;Hook Hand
item.hook-hand.description;Your guaranteed chests will be Special Chests. Activate Special Chest effects twice.
item.horoscope;Horoscope
item.horoscope.description;If your morality is positive, lose a random omen. If you are immoral, gain a random omen.
item.horseshoe;Horseshoe
item.horseshoe.description;You will find twice as much loot until your next mistake.
item.horseshoe.divine;Divine Horseshoe
item.horseshoe.divine.description;Until your next mistake, you have omen immunity, chests cannot contain omens, and coins are worth 1 more.
item.hot-sauce;Hot Sauce
item.hot-sauce.description;Lose 1 life when you consume an item.
item.hourglass;Hourglass
item.hourglass.description;Double the duration of your status effects.
item.human-cannonball;Human Cannonball
item.human-cannonball.description;[20 Head Armor] Does not repair automatically. Whenever this takes damage, explode a number of random cells equal to the damage taken.
item.human-doll;Human Doll
item.human-doll.description;Gain morality equal to your mastery charges at the start of each stage, and when your ultimate ability is activated. If you are immoral, lose morality instead.
item.human's-memento;Human's Memento
item.human's-memento.description;Start the next dimension with half of your morality.
item.hungry-plant-medal;Hungry Plant Medal
item.hungry-plant-medal.description;Stages have an additional Hungry Plant.
item.hunter-doll;Hunter Doll
item.hunter-doll.description;Gain Minions equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.hunter's-memento;Hunter's Memento
item.hunter's-memento.description;You will not lose your Minions when stepping through the Dimensional Portal.
item.hunting-whistle;Hunting Whistle
item.hunting-whistle.description;Whenever you use a Minion, gain a Minion after 50 turns.
item.hurricane;Hurricane
item.hurricane.description;Each stage has an additional Wishpool. You cannot activate Wishpools. Whenever a Wishpool gains a charge, drop your other items on the ground then destroy visible objects in the same quadrant as the Wishpool.
item.hydra-tail;Hydra Tail
item.hydra-tail.description;Whenever you gain an item, gain a copy of that item.
item.hypertrap;Hypertrap
item.hypertrap.description;Flag 25% of all monsters when you begin a stage.
item.hypnotist-doll;Hypnotist Doll
item.hypnotist-doll.description;Increase your status effect counters by 5 times your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.hypnotist's-memento;Hypnotist's Memento
item.hypnotist's-memento.description;Increase your life cap for the next dimension by your number of status effects.
item.hypnowatch;Hypnowatch
item.hypnowatch.description;Delay monster damage by 1 turn.
item.ice-bomb;Ice Bomb
item.ice-bomb.description;Apply Frozen to a 3x3 area around target cell.
item.ice-scraper;Ice Scraper
item.ice-scraper.description;If target cell has Frozen, remove the aura, then solve it and all nearby cells.
item.ice-totem;Ice Totem
item.ice-totem.description;Enchant target visible cell, apply Frozen to it: each turn, increase the value by 1. If it's 10 or greater, kill monsters in this quadrant equal to the number of Frozen cells in this quadrant, then reset the value.
item.immortal-doll;Immortal Doll
item.immortal-doll.description;Gain a revive for every 3 mastery charges at the start of each stage, and when your ultimate ability is activated.
item.immortal's-memento;Immortal's Memento
item.immortal's-memento.description;If you step through the Dimensional Portal with at least 3 revives, start the next dimension with a revive.
item.infernal-scarab;Infernal Scarab
item.infernal-scarab.description;Whenever you discover a cell of value 6 or greater, lose 1 max life.
item.infinity-key;Infinity Key
item.infinity-key.description;Complete the selected stage and uncomplete the surrounding stages.
item.instant-familiar;Instant Familiar
item.instant-familiar.description;Spawn a familiar on target empty cell and pass a turn.
item.iron-sceptre;Iron Sceptre
item.iron-sceptre.description;Convert all visible heart drops into defense.
item.iron-will;Iron Will
item.iron-will.description;Gain 3 defense whenever your armor breaks.
item.ironbank;Ironbank
item.ironbank.description;When you complete a stage, gain 1 defense for every diamond or chest left behind.
item.ivory-boots;Ivory Boots
item.ivory-boots.description;[3 Leg Armor] Every 50 turns, gain Bones equal to the value of the cell you just clicked on.
item.ivory-chestplate;Ivory Chestplate
item.ivory-chestplate.description;[7 Body Armor] Whenever you bury Bones, fortify by the value of the cell the Bones are buried in.
item.jack-of-clubs;Jack of Clubs
item.jack-of-clubs.description;Replace your mastery with another random mastery. It starts fully charged.
item.jack-o-lantern;Jack-o-Lantern
item.jack-o-lantern.description;Reveal target cell and gain a random omen.
item.jack-o-lantern.divine;Divine Jack-o-Lantern
item.jack-o-lantern.divine.description;Reveal target cell, then manalock for 50 turns. Expand the radius of this item by your number of omens.
item.jade-of-poison;Jade of Poison
item.jade-of-poison.description;Target cell gains or loses Toxic.
item.jester-hat;Jester Hat
item.jester-hat.description;Monsters always deal max damage.
item.juice;Juice
item.juice.description;Gain a mastery charge. If you have activated your ultimate ability before, activate it now for free.
item.jumprope;Jumprope
item.jumprope.description;Whenever you discover a 4 or greater, pass a turn.
item.junk;Junk
item.junk.description;Every 100 turns, gain Junk.
item.justice-juice;Justice Juice
item.justice-juice.description;If you open 10 cells within 10 seconds of gaining an omen, lose the omen.
item.key;Key
item.key.description;Unlock the selected stage.
item.key-of-undoing;Key of Undoing
item.key-of-undoing.description;Uncompletes the selected stage.
item.king-of-diamonds;King of Diamonds
item.king-of-diamonds.description;Spawn diamonds on visible cells in target 3x3 area. Convert any diamonds that were already in this area into purple diamonds.
item.kingmaker;Kingmaker
item.kingmaker.description;Every 20 cells opened without making a mistake, spawn a familiar then solve all cells near your familiars.
item.knight-doll;Knight Doll
item.knight-doll.description;Fortify all of your armor by your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.knight's-memento;Knight's Memento
item.knight's-memento.description;Start the next dimension with your leftmost armor. It loses any durability above its base durability.
item.knuckle-wraps;Knuckle Wraps
item.knuckle-wraps.description;Your next chord becomes a powerchord.
item.kunai;Kunai
item.kunai.description;Kill target visible monster and reveal any monsters nearby.
item.ladybug;Ladybug
item.ladybug.description;For a number of turns equal to your total mana plus 1, you cannot take damage from failed guesses.
item.lance;Lance
item.lance.description;Destroy monsters in target column.
item.landmine;Landmine
item.landmine.description;Enchant 10 random cells each stage: when you chord or target this cell with an item, blow up the nearby 3x3 area and remove the enchantment.
item.lantern.divine;Divine Lantern
item.lantern.divine.description;Glean target hidden cell. If it's a 2 or greater, this item retains its mana.
item.lantern;Lantern
item.lantern.description;Glean hidden cells in target 3x3 area.
item.last-supper;Last Supper
item.last-supper.description;Gain 1 soul for each consumable item you have. For the next 300 turns, you cannot restore life.
item.lead-balloon;Lead Balloon
item.lead-balloon.description;Lose 5% evasion at the end of each stage.
item.leash;Leash
item.leash.description;You cannot pan the board outside of view.
item.leather-boots;Leather Boots
item.leather-boots.description;[1 Leg Armor] Every 10 turns, gain a Minion if you just clicked on a 4 or greater.
item.leather-coif;Leather Coif
item.leather-coif.description;[2 Head Armor] Fortify by 1 whenever a Minion dies.
item.leather-vest;Leather Vest
item.leather-vest.description;[3 Body Armor] Fortify by 2 whenever a Minion dies.
item.leeches.divine;Divine Leeches
